species,decimalLatitude,decimalLongitude
Hetaerina titia,29.26113,-98.577956
Hetaerina americana,42.505362,-83.844066
Argia moesta,34.248938,-95.605907
Calopteryx maculata,39.3427,-75.68399
Libellula luctuosa,36.32196,-115.26823
Libellula incesta,39.31231,-75.15562
Libellula luctuosa,38.64186,-82.32554
Libellula pulchella,43.571819,-116.141109
Argia tibialis,39.49624,-75.07624
Libellula vibrans,39.49624,-75.07624
Plathemis lydia,41.99515,-71.78355
Argia fumipennis,34.4426,-85.1517
Libellula incesta,30.80845,-81.932079
Hetaerina americana,30.452247,-99.805061
Calopteryx maculata,42.37791,-72.48257
Argia sedula,37.52364,-77.431544
Argia fumipennis,37.22548,-80.42708
Argia moesta,42.594747,-72.240548
Plathemis lydia,30.73861,-92.74153
Hetaerina americana,40.96055,-102.38796
Libellula incesta,44.63919,-85.78609
Sympetrum vicinum,39.54581,-74.75166
Plathemis lydia,40.10095,-75.24319
Argia fumipennis,43.171237,-80.337466
Hetaerina americana,42.0566,-122.35134
Aeshna umbrosa,44.82768,-71.71888
Sympetrum vicinum,35.064649,-82.56829
Sympetrum corruptum,33.565501,-101.964251
Libellula cyanea,39.029835,-76.792256
Libellula luctuosa,31.796205,-111.015038
Argia fumipennis,36.711996,-80.433684
Libellula luctuosa,39.775586,-105.109956
Libellula luctuosa,36.009187,-92.953176
Libellula luctuosa,29.8425,-99.66316
Libellula luctuosa,33.301983,-111.285379
Plathemis lydia,46.666202,-92.227474
