species,decimalLatitude,decimalLongitude
Hyacinthoides non-scripta,50.964749,-3.467982
Hyacinthoides hispanica,53.271009,-2.889452
Hyacinthoides hispanica,53.205352,-2.533492
Hyacinthoides hispanica,53.271002,-2.889424
Hyacinthoides non-scripta,53.624816,-2.56567
Hyacinthoides non-scripta,53.558644,-2.830993
Hyacinthoides hispanica,52.95585,-2.113762
Hyacinthoides non-scripta,53.618066,-2.56084
Hyacinthoides non-scripta,52.27283,-2.823722
Hyacinthoides non-scripta,53.301402,-2.15843
Hyacinthoides non-scripta,53.608114,-2.550216
Hyacinthoides hispanica,53.193709,-2.890076
Hyacinthoides non-scripta,52.374237,-1.546937
Hyacinthoides hispanica,53.724339,-0.388816
Hyacinthoides non-scripta,53.763024,-0.405383
Hyacinthoides non-scripta,55.0188,-1.536792
Hyacinthoides non-scripta,51.633976,-3.897026
Hyacinthoides non-scripta,51.729516,0.568403
Hyacinthoides non-scripta,51.611401,-3.97646
Hyacinthoides non-scripta,52.205053,-2.926642
Hyacinthoides hispanica,53.948162,-1.052051
Hyacinthoides non-scripta,51.648962,-4.064451
Hyacinthoides non-scripta,51.662761,-3.783768
Hyacinthoides non-scripta,54.646205,-5.811535
Hyacinthoides non-scripta,54.668532,-7.316766
Hyacinthoides non-scripta,53.243759,-2.501611
Hyacinthoides non-scripta,52.204074,-0.016473
Hyacinthoides hispanica,53.244405,-2.502379
Hyacinthoides hispanica,53.200338,-2.89453
Hyacinthoides non-scripta,53.391677,-2.882855
Hyacinthoides hispanica,53.755161,-0.36075
Hyacinthoides hispanica,53.19424,-2.863143
Hyacinthoides hispanica,51.61119,-3.976702
Hyacinthoides non-scripta,53.194125,-2.86321
Hyacinthoides hispanica,53.193884,-2.890936
Hyacinthoides non-scripta,53.298992,-3.030103
Hyacinthoides non-scripta,54.646592,-5.798283
Hyacinthoides hispanica,53.952022,-1.064342
Hyacinthoides non-scripta,54.557912,-5.937162
Hyacinthoides non-scripta,52.400676,-1.595738
Hyacinthoides hispanica,53.170083,-2.888942
Hyacinthoides non-scripta,52.91688,-2.150744
Hyacinthoides non-scripta,53.560952,-2.835153
Hyacinthoides non-scripta,53.858576,-1.483028
Hyacinthoides hispanica,53.784878,-1.063505
Hyacinthoides non-scripta,56.771563,-5.041672
Hyacinthoides non-scripta,53.393188,-2.61723
Hyacinthoides non-scripta,51.62505,-3.972027
Hyacinthoides hispanica,51.473038,-2.541223
Hyacinthoides non-scripta,53.069938,-2.119743
Hyacinthoides non-scripta,54.81957,-1.636284
Hyacinthoides non-scripta,53.29236,-2.935547
Hyacinthoides non-scripta,53.136843,-2.368457
Hyacinthoides non-scripta,53.134159,-2.370651
Hyacinthoides hispanica,53.952012,-1.064347
Hyacinthoides non-scripta,53.202812,-2.902763
Hyacinthoides hispanica,53.233072,-2.880001
Hyacinthoides non-scripta,51.349922,-0.353092
Hyacinthoides non-scripta,51.479982,-2.122294
Hyacinthoides non-scripta,50.774701,-2.891803
Hyacinthoides non-scripta,51.352161,-0.373786
Hyacinthoides non-scripta,51.352056,-0.366156
Hyacinthoides non-scripta,51.345711,-0.341403
Hyacinthoides non-scripta,56.770944,-5.027066
Hyacinthoides hispanica,53.78372,-1.059592
Hyacinthoides non-scripta,51.499646,-0.754689
Hyacinthoides hispanica,53.40957,-2.830759
Hyacinthoides non-scripta,53.465225,-2.705558
Hyacinthoides non-scripta,51.357941,-1.991801
Hyacinthoides non-scripta,51.330944,-0.331667
Hyacinthoides hispanica,51.887736,-1.185484
Hyacinthoides non-scripta,53.308923,-1.622793
Hyacinthoides non-scripta,51.204055,-0.384705
Hyacinthoides non-scripta,52.983031,-2.070989
Hyacinthoides non-scripta,51.352758,-0.356792
Hyacinthoides non-scripta,51.935253,-2.969893
Hyacinthoides non-scripta,50.885207,-1.196217
Hyacinthoides non-scripta,51.534908,-0.127064
Hyacinthoides non-scripta,50.83115,-0.229265
Hyacinthoides non-scripta,52.440771,-1.760493
Hyacinthoides non-scripta,53.378708,-6.045703
Hyacinthoides non-scripta,51.343183,-0.339436
Hyacinthoides non-scripta,53.840272,-1.674845
Hyacinthoides non-scripta,50.850142,-0.984038
Hyacinthoides non-scripta,50.960528,-4.092583
Hyacinthoides non-scripta,51.348225,-0.351208
Hyacinthoides non-scripta,51.565813,0.63253
Hyacinthoides non-scripta,52.054186,-2.414073
Hyacinthoides hispanica,50.850257,-0.984342
Hyacinthoides non-scripta,51.328042,-0.330464
Hyacinthoides hispanica,51.61904,-3.977091
Hyacinthoides non-scripta,51.547692,0.227574
Hyacinthoides hispanica,54.03225,-1.692738
Hyacinthoides non-scripta,52.569255,-0.301128
Hyacinthoides non-scripta,51.160992,-0.582858
Hyacinthoides non-scripta,53.282453,-2.731447
Hyacinthoides non-scripta,53.151924,-2.174585
Hyacinthoides non-scripta,52.912083,-2.880583
Hyacinthoides non-scripta,50.375662,-4.141772
Hyacinthoides non-scripta,51.291889,1.131574
Hyacinthoides non-scripta,54.194458,-6.385997
Hyacinthoides hispanica,51.51783,0.192353
Hyacinthoides non-scripta,54.498663,-1.476563
Hyacinthoides non-scripta,52.424327,-1.557748
Hyacinthoides non-scripta,51.587947,-2.367675
Hyacinthoides non-scripta,52.005394,-4.523689
Hyacinthoides non-scripta,51.068918,-0.087249
Hyacinthoides non-scripta,53.022905,-1.829547
Hyacinthoides non-scripta,51.679725,-2.244847
Hyacinthoides non-scripta,55.029967,-6.950108
Hyacinthoides non-scripta,53.351482,-6.453422
Hyacinthoides non-scripta,51.668026,-3.984143
Hyacinthoides non-scripta,51.486172,-2.239964
Hyacinthoides non-scripta,51.034393,-1.35352
Hyacinthoides non-scripta,54.348096,-7.637885
Hyacinthoides non-scripta,54.946572,-6.541494
Hyacinthoides non-scripta,53.258561,-6.206466
Hyacinthoides non-scripta,51.156386,-4.168787
Hyacinthoides non-scripta,53.022883,-1.829577
Hyacinthoides non-scripta,51.40689,-2.241012
Hyacinthoides hispanica,53.383766,-2.827061
Hyacinthoides non-scripta,53.821228,-1.634442
Hyacinthoides non-scripta,55.82957,-4.318671
Hyacinthoides non-scripta,50.46217,-4.540648
Hyacinthoides non-scripta,51.39939,-2.597384
Hyacinthoides non-scripta,52.912135,-2.880553
Hyacinthoides non-scripta,53.722423,-1.320473
Hyacinthoides non-scripta,51.985469,0.205822
Hyacinthoides non-scripta,51.407145,-2.241138
Hyacinthoides non-scripta,54.36482,-2.796056
Hyacinthoides non-scripta,50.336304,-4.198837
Hyacinthoides non-scripta,51.380683,0.065578
Hyacinthoides non-scripta,56.657119,-3.769858
Hyacinthoides non-scripta,51.925045,-2.030321
Hyacinthoides non-scripta,52.415375,-1.543889
Hyacinthoides non-scripta,53.834415,-0.995575
Hyacinthoides non-scripta,51.671238,0.438646
Hyacinthoides hispanica,55.722347,-2.162392
Hyacinthoides non-scripta,53.023205,-2.101276
Hyacinthoides non-scripta,53.474227,-2.381379
Hyacinthoides non-scripta,51.000667,-1.922971
Hyacinthoides non-scripta,51.407538,-2.241887
Hyacinthoides non-scripta,51.057955,0.334952
Hyacinthoides non-scripta,56.558506,-5.25525
Hyacinthoides non-scripta,51.091198,-1.653027
Hyacinthoides non-scripta,54.972794,-6.555333
Hyacinthoides non-scripta,55.802138,-4.029236
Hyacinthoides non-scripta,51.559575,0.413222
Hyacinthoides non-scripta,51.978166,0.287105
Hyacinthoides non-scripta,51.407276,-2.241839
Hyacinthoides hispanica,50.379154,-4.138544
Hyacinthoides non-scripta,53.554245,-2.709097
Hyacinthoides non-scripta,51.406806,-2.24074
Hyacinthoides non-scripta,51.330155,0.091739
Hyacinthoides non-scripta,50.941063,-0.499888
Hyacinthoides non-scripta,53.824322,-1.632347
Hyacinthoides non-scripta,54.556164,-5.935292
Hyacinthoides non-scripta,51.300359,-2.328099
Hyacinthoides non-scripta,52.938916,-8.961108
Hyacinthoides non-scripta,52.42955,-1.61437
Hyacinthoides non-scripta,54.378384,-2.993093
Hyacinthoides non-scripta,51.979155,-2.165494
Hyacinthoides non-scripta,53.911961,-2.759976
Hyacinthoides non-scripta,51.869192,-2.17147
Hyacinthoides non-scripta,52.559483,-2.133652
Hyacinthoides non-scripta,53.093544,-2.048133
Hyacinthoides non-scripta,50.922556,-2.936146
Hyacinthoides non-scripta,51.644506,-2.687731
Hyacinthoides non-scripta,54.713742,-6.716438
