species,year,ssp,suitability,range,centroid_x,centroid_y,runtime,suitability_change,range_change,distance_change
Argia sedula,2050,ssp2,0.0832858199843872,7034823,-96.6684414209594,34.0568980479131,584.176822900772,1.08623381720096,1.07396303092664,60.0816869514968
Argia sedula,2050,ssp5,0.090222395634426,7527122,-96.4762401040756,34.5571327142693,683.856319904327,1.17670231529653,1.14911928235786,114.011809898196
Argia sedula,2075,ssp1,0.0799227748208713,6712548,-96.7303569514963,33.7713815566884,666.033410072327,1.04237216841045,1.02476329472974,33.2215063847095
Argia sedula,2075,ssp2,0.091117029123113,7547349,-96.376103009187,34.6167841074902,658.988286972046,1.18837034173361,1.15220721367135,121.276631708901
Argia sedula,2075,ssp5,0.103912094911031,8371479,-96.1029405413412,35.6309274331764,663.942780971527,1.35524668580699,1.27802205687033,236.171487525426
Argia sedula,2100,ssp1,0.0819405977335173,7015890,-96.9313029776407,34.0195866890308,659.297107934952,1.06868910309693,1.07107264661071,66.4254421685069
Argia sedula,2100,ssp2,0.096846421608251,7985694,-96.2397821676012,35.0572690576825,653.571684837341,1.26309446488616,1.21912664075453,171.360502390367
Argia sedula,2100,ssp5,0.114933710358968,8544393,-96.1405191913882,36.5890597056333,662.967941045761,1.49899326141827,1.30441977057679,341.13560096832
Argia tibialis,2050,ssp1,0.0579110253569455,4498959,-88.4832978716662,36.820283730345,672.262542963028,1.02284281909592,1.00212655911286,16.4291410549933
Argia tibialis,2050,ssp2,0.0606341537772374,4796264,-88.0374364152949,37.1653690631663,571.586129903793,1.07093957326326,1.06835015365041,44.6488470384048
Argia tibialis,2050,ssp5,0.064640339569836,5152703,-87.3719377166325,37.9259005514893,568.399051904678,1.14169809195061,1.14774562904897,147.479084613062
Argia tibialis,2075,ssp1,0.0629738782608034,4979503,-87.6630784809232,37.5048233394992,569.762377023697,1.11226452601496,1.10916596650074,94.5079134618831
Argia tibialis,2075,ssp2,0.0646853326554685,5154283,-87.2110700040839,37.9890789899302,570.735570192337,1.1424927740386,1.14809756823388,161.408196685461
Argia tibialis,2075,ssp5,0.0715998108500097,5651943,-86.5074748559017,39.005775424322,573.525324821472,1.26461847161501,1.25894950162738,289.06136019972
Argia tibialis,2100,ssp1,0.0643172552992315,4966594,-87.9313540753274,37.3571929400973,569.412616014481,1.13599167552794,1.1062905342615,67.7861314830573
Argia tibialis,2100,ssp2,0.070973494437187,5465161,-86.9480895326482,38.487551697194,573.648147106171,1.25355627333085,1.21734449856685,219.94816815496
Argia tibialis,2100,ssp5,0.0816558147726171,6895174,-85.9090167973676,42.114352777661,573.819299936295,1.44223078874532,1.53587463124347,622.446592806217
Calopteryx maculata,2050,ssp1,0.0857163991639623,6062080,-87.2610119998035,38.834335712517,1064.47800397873,1.0329884941097,1.01836801204151,25.5517983123887
Calopteryx maculata,2050,ssp2,0.0860452160566238,6094756,-87.1575321782228,38.9442833967132,1076.79692602158,1.03695114384885,1.02385724893074,14.956476039227
Calopteryx maculata,2050,ssp5,0.087820094561218,6113502,-87.069957735494,39.0499119433357,1095.59808707237,1.05834062231004,1.02700638697474,16.0615329773856
Calopteryx maculata,2075,ssp1,0.0882657890507777,6175026,-87.0753593431941,38.9790345827581,1057.24597501755,1.06371179146896,1.03734179554289,10.0116507379142
Calopteryx maculata,2075,ssp2,0.0873126875667224,6087667,-86.7499191616779,39.157356507927,1102.41846013069,1.05222574123411,1.02266636876464,33.4265879566178
Calopteryx maculata,2075,ssp5,0.0898992077702638,6193511,-86.8896062175738,39.3050761398396,1092.61389398575,1.08339650477645,1.04044708823164,43.5628055906685
