species,year,ssp,range_mean_suitability,range_size,range_centroid_x,range_centroid_y,eval_runtime,eval_training_auc,eval_testing_auc,output_threshold,Bioclim1,Bioclim10,Bioclim12,Bioclim4,Bioclim7,PFT14,PFT2,PFT10,PFT6,Population,slope,PFT1,PFT7,Bioclim11,PFT13,Rainfed,PFT12,Irrigated,PFT31,PFT11,genus,distance
Calopteryx amata,2100,ssp1,0.0311,1614487,-91.5338,47.4462,221.1431,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,113.39475252847946
Calopteryx amata,2100,ssp2,0.026,1248635,-91.8846,50.8173,220.8089,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,464.39117197300436
Calopteryx amata,2100,ssp5,0.0481,2611624,-79.5872,50.2896,218.8784,,,,,,,,,,,,,,,,,,,,,,,,Calopteryx,891.8658007803758
Hetaerina americana,2020,baseline,0.0843,3677239,-92.5732,37.5064,1539.4514,0.8734,0.959,0.4032,8.5605,37.4912,11.4255,13.371,7.593,,4.1812,,,16.1912,,,1.1865,,,,,,,,Hetaerina,0.0
Hetaerina americana,2050,ssp1,0.0884,3641754,-94.1513,37.8208,878.0453,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,143.5431495753362
Hetaerina americana,2050,ssp2,0.0975,3982106,-93.5861,38.5056,875.8051,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,142.17406110347434
Hetaerina americana,2050,ssp5,0.1052,4343782,-93.5944,38.6069,875.5748,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,151.50330381244598
Hetaerina americana,2075,ssp1,0.089,3704375,-94.0495,37.9153,876.6683,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,137.85711583076113
Hetaerina americana,2075,ssp2,0.1044,4273732,-93.6275,38.7425,872.4735,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,165.4401615935932
Hetaerina americana,2075,ssp5,0.1209,4948842,-95.0204,38.7833,868.2815,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,257.09836069263645
Hetaerina americana,2100,ssp1,0.0922,3767517,-94.1742,38.0269,925.4641,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,152.43282127669488
Hetaerina americana,2100,ssp2,0.109,4309410,-94.3051,38.6555,1042.0057,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,198.3791315807235
Hetaerina americana,2100,ssp5,0.1503,6485081,-95.2694,37.2871,1125.6883,,,,,,,,,,,,,,,,,,,,,,,,Hetaerina,239.9695320688098
